id,created_at,updated_at,email,encrypted_password,reset_password_token,reset_password_sent_at,remember_created_at,first_name,last_name,status,inactive_reason,phone_number,bio,timezone,title,linkedin_link,profile_picture,skills_array,shortlist
549,2024-12-05 18:43:34.747857,2024-12-05 18:43:34.747857,ofelia@example.com,$2a$12$xzIu337NNE6aJUoK42WdH.s8XqZ3znJroCtiDE7fPz4f8nq..Er02,,,,Ofelia,Kuvalis,inactive,,294-415-8364,"Rich gifts wax poor when givers prove unkind. What a piece of work is man! How noble in reason, how infinite in faculty! In form and moving how express and admirable! In action how like an angel, in apprehension how like a god! The beauty of the world. The paragon of animals.",Mountain Standard Time (MST) - UTC-7,Trainee,https://www.linkedin.com/in/ofelia-kuvalis-76656/,"https://api.dicebear.com/9.x/notionists/svg?seed=Sammy&radius=50&backgroundColor=D2042D&bodyIcon=galaxy,
                  saturn,electric&bodyIconProbability=10&gesture=hand,handPhone,ok,okLongArm,point,pointLongArm,waveLongArm&gestureProbability=20&
                  lips=variant01,variant02,variant03,variant04,variant05,variant06,variant07,variant08,variant10,variant11,variant13,
                  variant14,variant15,variant16,variant17,variant18,variant19,variant20,variant21,variant22,variant23,variant24,variant25,
                  variant26,variant27,variant29,variant30","{Ruby,Ruby}",{}
550,2024-12-05 18:43:35.182996,2024-12-05 18:43:35.182996,migdalia@example.com,$2a$12$Q2y7Fut/TwG.y.lxV8i1L.B7RwmNBjo9ySrtFNrgQiMQ0UdVFqdO.,,,,Migdalia,Veum,active,,547 603 9327,"Though this be madness, yet there is method in't. Rich gifts wax poor when givers prove unkind.",Eastern Standard Time (EST) - UTC-5,Product Manager,https://www.linkedin.com/in/migdalia-veum-14976/,"https://api.dicebear.com/9.x/notionists/svg?seed=Mimi&radius=50&backgroundColor=D2042D&bodyIcon=galaxy,
                  saturn,electric&bodyIconProbability=10&gesture=hand,handPhone,ok,okLongArm,point,pointLongArm,waveLongArm&gestureProbability=20&
                  lips=variant01,variant02,variant03,variant04,variant05,variant06,variant07,variant08,variant10,variant11,variant13,
                  variant14,variant15,variant16,variant17,variant18,variant19,variant20,variant21,variant22,variant23,variant24,variant25,
                  variant26,variant27,variant29,variant30","{Python,Python}",{}
519,2024-12-05 18:43:21.659175,2024-12-05 18:43:21.659175,jospeh@example.com,$2a$12$jttq5cZ41K835zsBRsiDs.KEuzv7uiJHrQkFKM5tbprET.R1IaHqK,,,,Jospeh,Hudson,active,,931.024.3041,"Doubt thou the stars are fire, doubt that the sun doth move, doubt truth to be a liar, but never doubt I love. What a piece of work is man! How noble in reason, how infinite in faculty! In form and moving how express and admirable! In action how like an angel, in apprehension how like a god! The beauty of the world. The paragon of animals.",Mountain Standard Time (MST) - UTC-7,Trainee,https://www.linkedin.com/in/jospeh-hudson-31771/,"https://api.dicebear.com/9.x/notionists/svg?seed=Jasmine&radius=50&backgroundColor=D2042D&bodyIcon=galaxy,
                  saturn,electric&bodyIconProbability=10&gesture=hand,handPhone,ok,okLongArm,point,pointLongArm,waveLongArm&gestureProbability=20&
                  lips=variant01,variant02,variant03,variant04,variant05,variant06,variant07,variant08,variant10,variant11,variant13,
                  variant14,variant15,variant16,variant17,variant18,variant19,variant20,variant21,variant22,variant23,variant24,variant25,
                  variant26,variant27,variant29,variant30","{Organization,Leadership}",{}
520,2024-12-05 18:43:22.087786,2024-12-05 18:43:22.087786,bruce@example.com,$2a$12$bWVpYxtGiKxbf7Jx3teeYeuA9qgefYkAUSdVbRjlt3Z8b4I3kltAW,,,,Bruce,Johnston,active,,9677829590,"What a piece of work is man! How noble in reason, how infinite in faculty! In form and moving how express and admirable! In action how like an angel, in apprehension how like a god! The beauty of the world. The paragon of animals. That it should come to this!",Mountain Standard Time (MST) - UTC-7,Software Engineer,https://www.linkedin.com/in/bruce-johnston-37510/,"https://api.dicebear.com/9.x/notionists/svg?seed=Dusty&radius=50&backgroundColor=D2042D&bodyIcon=galaxy,
                  saturn,electric&bodyIconProbability=10&gesture=hand,handPhone,ok,okLongArm,point,pointLongArm,waveLongArm&gestureProbability=20&
                  lips=variant01,variant02,variant03,variant04,variant05,variant06,variant07,variant08,variant10,variant11,variant13,
                  variant14,variant15,variant16,variant17,variant18,variant19,variant20,variant21,variant22,variant23,variant24,variant25,
                  variant26,variant27,variant29,variant30","{Leadership,Networking}",{}
521,2024-12-05 18:43:22.516383,2024-12-05 18:43:22.516383,lucio@example.com,$2a$12$k44aYto.6xthoOFYggIprOWY.KWG1f9.CVGshVDGimDQyiqAfAPui,,,,Lucio,Schowalter,active,,960-512-3423,I will speak daggers to her but use none. I will speak daggers to her but use none.,Central Standard Time (CST) - UTC-6,Trainee,https://www.linkedin.com/in/lucio-schowalter-23598/,"https://api.dicebear.com/9.x/notionists/svg?seed=Abby&radius=50&backgroundColor=D2042D&bodyIcon=galaxy,
                  saturn,electric&bodyIconProbability=10&gesture=hand,handPhone,ok,okLongArm,point,pointLongArm,waveLongArm&gestureProbability=20&
                  lips=variant01,variant02,variant03,variant04,variant05,variant06,variant07,variant08,variant10,variant11,variant13,
                  variant14,variant15,variant16,variant17,variant18,variant19,variant20,variant21,variant22,variant23,variant24,variant25,
                  variant26,variant27,variant29,variant30","{Ruby,Writing}",{}
522,2024-12-05 18:43:22.975173,2024-12-05 18:43:22.975173,waldo@example.com,$2a$12$2Yu1uhXT9KH3IhlsN55Nj.LncV1vorbZTPsX7nKPiKUy4E/TudX4a,,,,Waldo,Bruen,active,,926.119.2291,"A little more than kin, and less than kind. Do you think I am easier to be played on than a pipe?",Pacific Standard Time (PST) - UTC-8,Software Engineer,https://www.linkedin.com/in/waldo-bruen-21146/,"https://api.dicebear.com/9.x/notionists/svg?seed=Mittens&radius=50&backgroundColor=D2042D&bodyIcon=galaxy,
                  saturn,electric&bodyIconProbability=10&gesture=hand,handPhone,ok,okLongArm,point,pointLongArm,waveLongArm&gestureProbability=20&
                  lips=variant01,variant02,variant03,variant04,variant05,variant06,variant07,variant08,variant10,variant11,variant13,
                  variant14,variant15,variant16,variant17,variant18,variant19,variant20,variant21,variant22,variant23,variant24,variant25,
                  variant26,variant27,variant29,variant30","{Communication,Communication}",{}
523,2024-12-05 18:43:23.407751,2024-12-05 18:43:23.407751,julio@example.com,$2a$12$WvRv322JcF3duY2Noyfi3Ot.Qxv4qGMsE2mUvNJoT8XKaNHs0zzla,,,,Julio,Olson,active,,135.005.2186,"This above all: to thine own self be true, and it must follow, as the night the day, thou canst not then be false to any man. Rich gifts wax poor when givers prove unkind.",Eastern Standard Time (EST) - UTC-5,Observer,https://www.linkedin.com/in/julio-olson-41435/,"https://api.dicebear.com/9.x/notionists/svg?seed=Jasmine&radius=50&backgroundColor=D2042D&bodyIcon=galaxy,
                  saturn,electric&bodyIconProbability=10&gesture=hand,handPhone,ok,okLongArm,point,pointLongArm,waveLongArm&gestureProbability=20&
                  lips=variant01,variant02,variant03,variant04,variant05,variant06,variant07,variant08,variant10,variant11,variant13,
                  variant14,variant15,variant16,variant17,variant18,variant19,variant20,variant21,variant22,variant23,variant24,variant25,
                  variant26,variant27,variant29,variant30","{Leadership,Python}",{}
524,2024-12-05 18:43:23.837373,2024-12-05 18:43:23.837373,kip@example.com,$2a$12$wocleC21JJZVgWRm1S3CNeXYuuxax1VKIGjiCV3NZAUZ5HW//WRlC,,,,Kip,Witting,inactive,,3726629774,"I will speak daggers to her but use none. This above all: to thine own self be true, and it must follow, as the night the day, thou canst not then be false to any man.",Mountain Standard Time (MST) - UTC-7,Trainee,https://www.linkedin.com/in/kip-witting-72242/,"https://api.dicebear.com/9.x/notionists/svg?seed=Boo&radius=50&backgroundColor=D2042D&bodyIcon=galaxy,
                  saturn,electric&bodyIconProbability=10&gesture=hand,handPhone,ok,okLongArm,point,pointLongArm,waveLongArm&gestureProbability=20&
                  lips=variant01,variant02,variant03,variant04,variant05,variant06,variant07,variant08,variant10,variant11,variant13,
                  variant14,variant15,variant16,variant17,variant18,variant19,variant20,variant21,variant22,variant23,variant24,variant25,
                  variant26,variant27,variant29,variant30","{Ruby,Organization}",{}
525,2024-12-05 18:43:24.266568,2024-12-05 18:43:24.266568,drusilla@example.com,$2a$12$/gwvOpBdM5lLt0CbFIzv4u/9ZXeOnxlsBO4lsogdhCFG2EJbJ9avq,,,,Drusilla,Leuschke,archived,,412.082.0520,"Do you think I am easier to be played on than a pipe? There is nothing either good or bad, but thinking makes it so.",Eastern Standard Time (EST) - UTC-5,IT Technician,https://www.linkedin.com/in/drusilla-leuschke-15549/,"https://api.dicebear.com/9.x/notionists/svg?seed=Abby&radius=50&backgroundColor=D2042D&bodyIcon=galaxy,
                  saturn,electric&bodyIconProbability=10&gesture=hand,handPhone,ok,okLongArm,point,pointLongArm,waveLongArm&gestureProbability=20&
                  lips=variant01,variant02,variant03,variant04,variant05,variant06,variant07,variant08,variant10,variant11,variant13,
                  variant14,variant15,variant16,variant17,variant18,variant19,variant20,variant21,variant22,variant23,variant24,variant25,
                  variant26,variant27,variant29,variant30","{Leadership,Communication}",{}
526,2024-12-05 18:43:24.694799,2024-12-05 18:43:24.694799,michale@example.com,$2a$12$xGm8TQTUAyGz7OZwIrp6quXCPaK0LkhYPi1wU2QX1JWG5gELM3z1i,,,,Michale,Blanda,active,,3508413456,"I will speak daggers to her but use none. Neither a borrower nor a lender be; For loan oft loses both itself and friend, and borrowing dulls the edge of husbandry.",Eastern Standard Time (EST) - UTC-5,Trainee,https://www.linkedin.com/in/michale-blanda-84847/,"https://api.dicebear.com/9.x/notionists/svg?seed=Mimi&radius=50&backgroundColor=D2042D&bodyIcon=galaxy,
                  saturn,electric&bodyIconProbability=10&gesture=hand,handPhone,ok,okLongArm,point,pointLongArm,waveLongArm&gestureProbability=20&
                  lips=variant01,variant02,variant03,variant04,variant05,variant06,variant07,variant08,variant10,variant11,variant13,
                  variant14,variant15,variant16,variant17,variant18,variant19,variant20,variant21,variant22,variant23,variant24,variant25,
                  variant26,variant27,variant29,variant30","{Writing,Java}",{}
